name,res,rr,panel,size,cost,min_gpu,curve,aspect,special,reviews

LG 32ep950,3840x2160p,60hz,Inkjet OLED,32",$2800,floor,no,wide,hardware calibration + sdr only, https://www.youtube.com/watch?v=5A0S1wDwR3k

Asus PA32DC,3840x2160p,60hz,Inkjet OLED,32",$2800,floor,no,wide,hardware calibration + sdr only,

Asus PA32UCG-K,3840x2160p,120hz,IPS miniLED 1152 zones,32",$3000,floor,no,wide,hardware calibration,

Apple Pro Display XDR,6016x3384p,60hz,IPS FALD 576 zones,32",$5000,floor,no,wide, hardware calibration, https://www.youtube.com/watch?v=rtd7UzLJHrU
